reaction	substrate
R01528	C00345
R10221	C00345
R00985	C00014
R00985	C00251
R00986	C00064
R00986	C00251
R04519	C05898
R06177	G10555
R00286	C00029
R00494	C00051
R01262	C00051
R01262	C00151
R01687	C00245
R01687	C03193
R03867	C00045
R03867	C02166
R03916	C02320
R03970	C00025
R03970	C02512
R03971	C00025
R03971	C05670
R04935	C03193
R04935	C05689
R01030	C00670
R01470	C01233
R00078	C00007
R00552	C00062
R11325	C00007
R11325	C00390
R00691	C00826
R01373	C00254
R00505	C00052
R09009	C00935
R12080	G13121
R12080	G13125
R04620	C04895
R12078	G13119
R12078	G13125
R12079	G13120
R12079	G13125
R00694	C00026
R00694	C00079
R00734	C00026
R00734	C00082
R03243	C00026
R03243	C01100
R03893	C04431
R05510	C07090
R05511	C04706
R06835	C12834
R06838	C12838
R08120	C16477
R08121	C16476
R09136	C18242
R09220	C18309
R09222	C18304
R01357	C00164
R01728	C00254
R01213	C02504
R00480	C00049
R02291	C00009
R02291	C00441
R01678	C00243
R03355	C01290
R04633	C04911
R05112	C06136
R05994	G00124
R06010	G00110
R07807	G01977
R00235	C00033
R00236	C05993
R00316	C00033
R00925	C00163
R00926	C05983
R01354	C00163
R08555	C00256
R08555	C00357
R00022	C01674
R10831	G00711
R01132	C00013
R01229	C00013
R02142	C00013
R02142	C00655
R08237	C00119
R08237	C02380
R08238	C00119
R08238	C16614
R08245	C00119
R08245	C07648
R04639	C04895
R05046	C05922
R05048	C05923
R03066	C00568
R03066	C01300
R03067	C00568
R03067	C04807
R03504	C04874
R11037	C00007
R11037	C04874
R11073	C04874
R03503	C01300
R02473	C00099
R02473	C00522
R00489	C00049
R02971	C00831
R03018	C00864
R04391	C04079
R05633	C11434
R05637	C11436
R06977	C00025
R06977	C00441
R02737	C00029
R02737	C00668
R11783	C00092
R11783	C00498
R02778	C00689
R01920	C00134
R01920	C01137
R08359	C01137
R08359	C01672
R10147	C00022
R10147	C00441
R00768	C00064
R00768	C00085
R03223	C04327
R03223	C04752
R10712	C04752
R10712	C20247
R07463	C00007
R07463	C00037
R10247	C11437
R10247	C15809
R10247	C15814
R03471	C01279
R04509	C04556
R03472	C00019
R03472	C03373
R01800	C00065
R01800	C00269
R02055	C02737
R09735	C06232
R09735	C19848
R04031	C02730
R01764	C02137
R02672	C03590
R00214	C00149
R11372	C21310
R09394	C00019
R09394	C00030
R02017	C00343
R02018	C00343
R02019	C00343
R02024	C00343
R01334	C00988
R04173	C00026
R04173	C01005
R05085	C00026
R05085	C06055
R00351	C00158
R00131	C00086
R13420	C00086
R00277	C00007
R00277	C00647
R00278	C00007
R00278	C00627
R01710	C00007
R01710	C00534
R01711	C00007
R01711	C00314
R01602	C00267
R10619	C00124
R00760	C00095
R00867	C00095
R03920	C02336
R00848	C00093
R04311	C00339
R04311	C03372
R01351	C01885
R10850	C00029
R10850	C00641
R12902	C00641
R12902	G10608
R08166	C16519
R10127	C20386
R09083	C00007
R09083	C01847
R00955	C00029
R00955	C00446
R02301	C03479
R00289	C00103
R04072	C02189
R04072	C03862
R07620	C02189
R07620	G10617
R11399	C03862
R11399	C19803
R01716	C00064
R01716	C00251
R03659	C00073
R03659	C01647
R04773	C01647
R04773	C05335
R05634	C11435
R09289	C01013
R01049	C00117
R00416	C04501
R05332	C00024
R05332	C06156
R02222	C00007
R02222	C00412
R02222	C00999
R12173	C00007
R12173	C00154
R12173	C00999
R00287	C00029
R03004	C00857
R03036	C00882
R00658	C00631
R03409	C04494
R00578	C00049
R00578	C00064
R00238	C00024
R01177	C00024
R01177	C00136
R00891	C00065
R00891	C00283
R01290	C00065
R01290	C00155
R04942	C00065
R04942	C05698
R00999	C01118
R01288	C00283
R01288	C01118
R02026	C00320
R02026	C00342
R02026	C01077
R02508	C00042
R02508	C00542
R03217	C00097
R03217	C01077
R03260	C00097
R03260	C01118
R04944	C05688
R04944	C05702
R04945	C01077
R04945	C05688
R04946	C01118
R04946	C05688
R00220	C00065
R00996	C00188
R01372	C00007
R01372	C00166
R02521	C00007
R02521	C01179
R01639	C00310
R08528	C00129
R08528	C00341
R01082	C00149
R00762	C00354
R04780	C05378
R05884	C00138
R05884	C11811
R08210	C00139
R08210	C00235
R09846	C00132
R09846	C04506
R00366	C00007
R00366	C00037
R02457	C00007
R02457	C00515
R02894	C00007
R02894	C00763
R02923	C00007
R02923	C00792
R04221	C00007
R04221	C03440
R07400	C00007
R07400	C00916
R04734	C15522
R04365	C00091
R04365	C03972
R02734	C04421
R09837	C20062
R09839	C19945
R00899	C01419
R04951	C05729
R00798	C00028
R00798	C00088
R01106	C00088
R01106	C00125
R09497	C00244
R09497	C15603
R05066	C06001
R08219	C05172
R08219	C06481
R02767	C01271
R04533	C04618
R04534	C04619
R04536	C04620
R04543	C04633
R04566	C04688
R04953	C05747
R04964	C05757
R07763	C16219
R10116	C20372
R10120	C20376
R11671	C00024
R11671	C00083
R00533	C00007
R00533	C00094
R00009	C00027
R00602	C00027
R00602	C00132
R02670	C00007
R02670	C00632
R02356	C00007
R02356	C00468
R03408	C00007
R03408	C01227
R08286	C07047
R08287	C07047
R08390	C00007
R08390	C00777
R08390	C03024
R08391	C00007
R08391	C00777
R08392	C00007
R08392	C00777
R08392	C03024
R09404	C00007
R09404	C06800
R09408	C00007
R09408	C06800
R02164	C00042
R02164	C15602
R00582	C01005
R01268	C00153
R01724	C00009
R01724	C00013
R01724	C01185
R01519	C00198
R02933	C01040
R03751	C01880
R00260	C00025
R08243	C16617
R03145	C00022
R03145	C00399
R01055	C00106
R01055	C00117
R08836	C00007
R08836	C00355
R01424	C01586
R11582	C18237
R01676	C00242
R01768	C00262
R02103	C00385
R00670	C00077
R00178	C00019
R01051	C00121
R02750	C00673
R01209	C04039
R04441	C04272
R05070	C06007
R02133	C00378
R09993	C20267
