Metabolite ID,Name,Formula/Composition,Compartment
C00345,6-Phospho-D-gluconate,C6H13O10P,Cytosol
C00006,NADP+,C21H29N7O17P3,Cytosol
C00199,D-Ribulose 5-phosphate,C5H11O8P,Cytosol
C00011,CO2,CO2,Cytosol
C00005,NADPH,C21H30N7O17P3,Cytosol
C00080,H+,H,Cytosol
C00003,NAD+,C21H28N7O14P2,Cytosol
C00004,NADH,C21H29N7O14P2,Cytosol
C00251,Chorismate,C10H10O6,Cytosol
C00014,Ammonia,NH3,Cytosol
C00108,Anthranilate,C7H7NO2,Cytosol
C00022,Pyruvate,C3H4O3,Cytosol
C00001,H2O,H2O,Cytosol
C00064,L-Glutamine,C5H10N2O3,Cytosol
C00025,L-Glutamate,C5H9NO4,Cytosol
C05898,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C95H156N8O28P2,Cytosol
C11827,[GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-g-D-Glu-A2pm-D-Ala-D-Ala)]n-diphosphoundecaprenol,C95H156N8O28P2(C40H64N8O21)n-1,Cytosol
C04574,"di-trans,poly-cis-Undecaprenyl diphosphate",C55H92O7P2,Cytosol
G10555,Glycan,(GlcNAc)1 (MurNAc)1 (D-Ala-D-Ala-A2pm-gamma-D-Glu-Ala)1 (PP-Und)1,Cytosol
G10557,Glycan,(GlcNAc)1 (MurNAc)1 (*)1 (D-Ala-D-Ala-A2pm-gamma-D-Glu-Ala)1 (PP-Und)1,Cytosol
C00029,UDP-glucose,C15H24N2O17P2,Cytosol
C00167,UDP-glucuronate,C15H22N2O18P2,Cytosol
C00051,Glutathione,C10H17N3O6S,Cytosol
C01419,Cys-Gly,C5H10N2O3S,Cytosol
C00151,L-Amino acid,C2H4NO2R,Cytosol
C03740,(5-L-Glutamyl)-L-amino acid,C7H11N2O5R,Cytosol
C03193,(5-L-Glutamyl)-peptide,C7H11N2O5R(C2H2NOR)n,Cytosol
C00245,Taurine,C2H7NO3S,Cytosol
C00012,Peptide,C2H4NO2R(C2H2NOR)n,Cytosol
C05844,5-L-Glutamyl-taurine,C7H14N2O6S,Cytosol
C02166,Leukotriene C4,C30H47N3O9S,Cytosol
C00045,Amino acid,C2H4NO2R,Cytosol
C05951,Leukotriene D4,C25H40N2O6S,Cytosol
C03363,5-L-Glutamyl amino acid,C7H11N2O5R,Cytosol
C02320,R-S-Glutathione,C10H16N3O6SR,Cytosol
C05729,R-S-Cysteinylglycine,C5H9N2O3SR,Cytosol
C02512,3-Cyano-L-alanine,C4H6N2O2,Cytosol
C05711,gamma-Glutamyl-beta-cyanoalanine,C9H13N3O5,Cytosol
C05670,3-Aminopropiononitrile,C3H6N2,Cytosol
C06114,gamma-Glutamyl-beta-aminopropiononitrile,C8H13N3O3,Cytosol
C05689,Se-Methyl-L-selenocysteine,C4H9NO2Se,Cytosol
C05695,gamma-Glutamyl-Se-methylselenocysteine,C9H16N2O5Se,Cytosol
C00670,sn-Glycero-3-phosphocholine,C8H21NO6P,Cytosol
C00114,Choline,C5H14NO,Cytosol
C00093,sn-Glycerol 3-phosphate,C3H9O6P,Cytosol
C01233,sn-Glycero-3-phosphoethanolamine,C5H14NO6P,Cytosol
C00189,Ethanolamine,C2H7NO,Cytosol
C00007,Oxygen,O2,Cytosol
C14818,Fe2+,Fe,Cytosol
C14819,Fe3+,Fe,Cytosol
C00062,L-Arginine,C6H14N4O2,Cytosol
C00327,L-Citrulline,C6H13N3O3,Cytosol
C00390,Ubiquinol,C14H20O4(C5H8)n,Cytosol
C00399,Ubiquinone,C14H18O4(C5H8)n,Cytosol
C00826,L-Arogenate,C10H13NO5,Cytosol
C00079,L-Phenylalanine,C9H11NO2,Cytosol
C00254,Prephenate,C10H10O6,Cytosol
C00166,Phenylpyruvate,C9H8O3,Cytosol
C00052,UDP-alpha-D-galactose,C15H24N2O17P2,Cytosol
C03733,UDP-alpha-D-galactofuranose,C15H24N2O17P2,Cytosol
C00935,UDP-L-arabinose,C14H22N2O16P2,Cytosol
C18094,UDP-L-arabinofuranose,C14H22N2O16P2,Cytosol
G13125,Glycan,(UDP-Galf)1,Cytosol
G13121,Glycan,(Galf)2 (GlcNAc)1 (LRha)1 (PP-C50)1,Cytosol
G10619,Glycan,(UDP)1,Cytosol
G13122,Glycan,(Galf)3 (GlcNAc)1 (LRha)1 (PP-C50)1,Cytosol
C04895,"7,8-Dihydroneopterin 3'-triphosphate",C9H16N5O13P3,Cytosol
C04874,"7,8-Dihydroneopterin",C9H13N5O4,Cytosol
C00009,Orthophosphate,H3PO4,Cytosol
G13119,Glycan,(GlcNAc)1 (LRha)1 (PP-C50)1,Cytosol
G13120,Glycan,(Galf)1 (GlcNAc)1 (LRha)1 (PP-C50)1,Cytosol
C00026,2-Oxoglutarate,C5H6O5,Cytosol
C00082,L-Tyrosine,C9H11NO3,Cytosol
C01179,3-(4-Hydroxyphenyl)pyruvate,C9H8O4,Cytosol
C01100,L-Histidinol phosphate,C6H12N3O4P,Cytosol
C01267,3-(Imidazol-4-yl)-2-oxopropyl phosphate,C6H9N2O5P,Cytosol
C04431,cis-4-Carboxymethylenebut-2-en-4-olide,C6H4O4,Cytosol
C02222,2-Maleylacetate,C6H6O5,Cytosol
C07090,Protoanemonin,C5H4O2,Cytosol
C07091,cis-Acetylacrylate,C5H6O3,Cytosol
C04706,"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide",C6H3ClO4,Cytosol
C06329,2-Chloromaleylacetate,C6H5ClO5,Cytosol
C12834,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",C6H2Cl2O4,Cytosol
C12835,"2,5-Dichloro-4-oxohex-2-enedioate",C6H4Cl2O5,Cytosol
C12838,trans-4-Carboxymethylenebut-2-en-4-olide,C6H4O4,Cytosol
C16477,5-Fluoromuconolactone,C6H5FO4,Cytosol
C16487,Hydrofluoric acid,HF,Cytosol
C16476,4-Fluoromuconolactone,C6H5FO4,Cytosol
C18242,"2,3,5-Trichlorodienelactone",C6HCl3O4,Cytosol
C18243,"2,3,5-Trichloromaleylacetate",C6H3Cl3O5,Cytosol
C18309,3-Chloro-2-methyldienelactone,C7H5ClO4,Cytosol
C18310,3-Chloro-2-methylmaleylacetate,C7H7ClO5,Cytosol
C18304,2-Chloro-5-methyl-cis-dienelactone,C7H5ClO4,Cytosol
C18305,2-Chloro-5-methylmaleylacetate,C7H7ClO5,Cytosol
C00002,ATP,C10H16N5O13P3,Cytosol
C00164,Acetoacetate,C4H6O3,Cytosol
C00010,CoA,C21H36N7O16P3S,Cytosol
C00020,AMP,C10H14N5O7P,Cytosol
C00013,Diphosphate,H4P2O7,Cytosol
C00332,Acetoacetyl-CoA,C25H40N7O18P3S,Cytosol
C02504,alpha-Isopropylmalate,C7H12O5,Cytosol
C00024,Acetyl-CoA,C23H38N7O17P3S,Cytosol
C00141,3-Methyl-2-oxobutanoic acid,C5H8O3,Cytosol
C00049,L-Aspartate,C4H7NO4,Cytosol
C00008,ADP,C10H15N5O10P2,Cytosol
C03082,4-Phospho-L-aspartate,C4H8NO7P,Cytosol
C00441,L-Aspartate 4-semialdehyde,C4H7NO3,Cytosol
C00243,Lactose,C12H22O11,Cytosol
C00267,alpha-D-Glucose,C6H12O6,Cytosol
C00124,D-Galactose,C6H12O6,Cytosol
C01290,Lactosylceramide,C31H56NO13R,Cytosol
C01190,Glucosylceramide,C25H46NO8R,Cytosol
C04911,D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide,C56H96N3O31R,Cytosol
C04884,N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide,C50H86N3O26R,Cytosol
C06136,GA1,C45H79N2O23R,Cytosol
C06135,GA2,C39H69N2O18R,Cytosol
G00124,Glycan,(Gal)2 (GalNAc)1 (Glc)1 (Cer)1,Cytosol
G00123,Glycan,(Gal)1 (GalNAc)1 (Glc)1 (Cer)1,Cytosol
G00110,Glycan,(Gal)2 (GalNAc)1 (Glc)1 (Neu5Ac)1 (Cer)1,Cytosol
G00109,Glycan,(Gal)1 (GalNAc)1 (Glc)1 (Neu5Ac)1 (Cer)1,Cytosol
G01977,Glycan,(Gal)2 (GlcNAc)2 (S)2,Cytosol
G13073,Glycan,(Gal)1 (GlcNAc)2 (S)2,Cytosol
C00033,Acetate,C2H4O2,Cytosol
C05993,Acetyl adenylate,C12H16N5O8P,Cytosol
C00163,Propanoate,C3H6O2,Cytosol
C00100,Propanoyl-CoA,C24H40N7O17P3S,Cytosol
C05983,Propionyladenylate,C13H18N5O8P,Cytosol
C00256,(R)-Lactate,C3H6O3,Cytosol
C00357,N-Acetyl-D-glucosamine 6-phosphate,C8H16NO9P,Cytosol
C16698,N-Acetylmuramic acid 6-phosphate,C11H20NO11P,Cytosol
C01674,Chitobiose,C16H28N2O11,Cytosol
C00140,N-Acetyl-D-glucosamine,C8H15NO6,Cytosol
G00711,Glycan,(GlcA)1 (GlcNAc)2,Cytosol
G10008,Glycan,(GlcA)1 (GlcNAc)1,Cytosol
C00130,IMP,C10H13N4O8P,Cytosol
C00262,Hypoxanthine,C5H4N4O,Cytosol
C00119,5-Phospho-alpha-D-ribose 1-diphosphate,C5H13O14P3,Cytosol
C00144,GMP,C10H14N5O8P,Cytosol
C00242,Guanine,C5H5N5O,Cytosol
C00655,Xanthosine 5'-phosphate,C10H13N4O9P,Cytosol
C00385,Xanthine,C5H4N4O2,Cytosol
