Metabolite ID,Name,Formula/Composition,Compartment,PubChem ID,Canonical SMILES
C00345,6-Phospho-D-gluconate,C6H13O10P,Cytosol,3638,CN1CCC2=CC3=C(C=C2C1O)OCO3
C00006,NADP+,C21H29N7O17P3,Cytosol,3308,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
C00199,D-Ribulose 5-phosphate,C5H11O8P,Cytosol,3499,CN(C)CCCN1C=C(C2=C1C=CC(=C2)OC)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
C00011,CO2,CO2,Cytosol,3313,CC1C(CCC(N1C)(C)C)OC(=O)C(C2=CC=CC=C2)O
C00005,NADPH,C21H30N7O17P3,Cytosol,3307,CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C
C00080,H+,H,Cytosol,3380,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F
C00003,NAD+,C21H28N7O14P2,Cytosol,3305,CC(O)(P(=O)(O)O)P(=O)(O)O
C00004,NADH,C21H29N7O14P2,Cytosol,3306,CCNCC(C1=CC(=CC=C1)O)O
C00251,Chorismate,C10H10O6,Cytosol,3550,CC1CC(C(OC1C2CCC(O2)C3CC(C(O3)C4(CC(C5(O4)C(C(CC(O5)CC6C(C(C(C(O6)(C(C)C(=O)[O-])O)C)OC)C)OC)C)C)C)OC7CCC(C(O7)C)OC)(C)O)C.[Na+]
C00014,Ammonia,NH3,Cytosol,3316,CCCCCCOC1=CC=CC=C1C(=O)N
C00108,Anthranilate,C7H7NO2,Cytosol,3408,CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)O
C00022,Pyruvate,C3H4O3,Cytosol,3324,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
C00001,H2O,H2O,Cytosol,3303,CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1
C00064,L-Glutamine,C5H10N2O3,Cytosol,3364,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
