orf_name,KO number,R number
chr_3,K00033,R01528; R10221
chr_27,K01658,R00985; R00986
chr_30,K05364,R04519; R06177
chr_64,K00012,R00286
chr_66,K00681,R00494; R01262; R01687; R03867; R03916; R03970; R03971; R04935
chr_96,K01126,R01030; R01470
chr_100,K22336,R00078
chr_101,K01478,R00552
chr_111,K00425,R11325
chr_112,K00426,R11325
chr_120,K04518,R00691; R01373
chr_135,K13671,
chr_136,K01854,R00505; R09009
chr_137,K16650,R12080
chr_141,K01113,R04620
chr_160,K11387,
chr_161,K16649,R12078; R12079
chr_193,K00817,R00694; R00734; R03243
chr_194,K01061,R03893; R05510; R05511; R06835; R06838; R08120; R08121; R09136; R09220; R09222
chr_195,K01907,R01357
chr_229,K04517,R01728
chr_271,K01649,R01213
chr_292,K00928,R00480
chr_293,K00133,R02291
chr_312,K12309,R01678; R03355; R04633; R05112; R05994; R06010; R07807
chr_342,K01895,R00235; R00236; R00316; R00925; R00926; R01354
chr_345,K07106,R08555
chr_348,K21469,
chr_350,K01207,R00022; R10831
chr_397,K01507,
chr_398,K07259,
chr_401,K00760,R01132; R01229; R02142; R08237; R08238; R08245
chr_403,K01495,R00424; R00428; R04639; R05046; R05048
chr_404,K00796,R03066; R03067
chr_405,K01633,R03504; R11037; R11073
chr_406,K00950,R03503
chr_412,K01918,R02473
chr_413,K01579,R00489
chr_414,K03525,R02971; R03018; R04391
chr_437,K00991,R05633
chr_438,K01770,R05637
chr_453,K00836,R06977
chr_458,K01183,R01206; R02334
chr_472,K00697,R02737; R11783
chr_473,K01087,R02778
chr_478,K00797,R01920; R08359
chr_491,K01714,R10147
chr_495,K00820,R00768
chr_502,K00788,R03223; R10712
chr_503,K03153,R07463
chr_505,K03149,R10247
chr_507,K00941,R03471; R04509
chr_508,K03147,R03472
chr_513,K17103,R01800
chr_514,K01613,R02055
chr_516,K03750,R09735
chr_535,K02549,R04031
chr_541,K01576,R01764; R02672
chr_546,K15577,
chr_548,K15553,
chr_557,K00027,R00214
chr_558,K03637,R11372
chr_563,K03639,R09394
chr_572,K00526,R02017; R02018; R02019; R02024
chr_573,K01091,R01334
chr_608,K00831,R04173; R05085
chr_610,K01647,R00351
chr_611,K01430,R00131; R13420
chr_612,K00275,R00277; R00278; R01710; R01711
chr_615,K01785,R01602; R10619
chr_618,K00847,R00760; R00867; R03920
chr_622,K00111,R00848
chr_624,K00803,R04311
chr_633,K01054,R01351
chr_642,K19002,R10850; R12902
chr_643,K08680,R08166
chr_663,K08351,R10127
chr_749,K04719,R09083
chr_760,K00965,R00955
chr_769,K01934,R02301
chr_770,K00963,R00289
chr_782,K00728,R04072; R07620; R11399
chr_784,K01665,R01716
chr_786,K01874,R03659; R04773
chr_794,K00919,R05634
chr_801,K09019,R09289
chr_802,K00948,R01049
chr_803,K04042,R00416; R05332
chr_806,K00507,R02222; R12173
chr_813,K04765,R00087; R00103; R00287; R00426; R00515; R00662; R03004; R03036; R11323
chr_817,K01689,R00658
chr_823,K01524,R03409
chr_851,K03885,
chr_902,K01953,R00578
chr_909,K12239,
chr_941,K00626,R00238; R01177
chr_943,K01697,R00891; R01290; R04942
chr_945,K01739,R00999; R01288; R02026; R02508; R03217; R03260; R04944; R04945; R04946
chr_947,K01754,R00220; R00996
chr_948,K00457,R01372; R02521
chr_955,K00854,R01639
chr_961,K12503,R08528
chr_970,K01679,R01082
chr_973,K02446,R00762; R04780
chr_979,K03527,R05884; R08210
chr_989,K15889,R09846
chr_1023,K00273,R00366; R02457; R02894; R02923; R04221; R07400
