Reaction ID,Reaction (Long),Reaction (Short),Reversible,Enzyme,Genes,PATHWAY
R01528,6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+,C00345 + C00006 <=> C00199 + C00011 + C00005 + C00080,FALSE,1.1.1.44;1.1.1.351,chr_3,rn00030;rn00480
R10221,6-Phospho-D-gluconate + NAD+ <=> D-Ribulose 5-phosphate + CO2 + NADH + H+,C00345 + C00003 <=> C00199 + C00011 + C00004 + C00080,FALSE,1.1.1.343;1.1.1.351,chr_3,rn00030
R00985,Chorismate + Ammonia <=> Anthranilate + Pyruvate + H2O,C00251 + C00014 <=> C00108 + C00022 + C00001,FALSE,4.1.3.27,( chr_27 and chr_6576 ),rn00400
R00986,Chorismate + L-Glutamine <=> Anthranilate + Pyruvate + L-Glutamate,C00251 + C00064 <=> C00108 + C00022 + C00025,FALSE,4.1.3.27,( chr_27 and chr_6576 ),rn00400;rn00405
R04519,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + [GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-g-D-Glu-A2pm-D-Ala-D-Ala)]n-diphosphoundecaprenol <=> di-trans,poly-cis-Undecaprenyl diphosphate + [GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-g-D-Glu-A2pm-D-Ala-D-Ala)]n-diphosphoundecaprenol",C05898 + C11827 <=> C04574 + C11827,TRUE,2.4.99.28,chr_30,
R06177,"G10555 + G10557(n) <=> di-trans,poly-cis-Undecaprenyl diphosphate + G10557(n+1)",G10555 <=> C04574 + G10557,TRUE,2.4.99.28,chr_30,
R00286,UDP-glucose + H2O + 2 NAD+ <=> UDP-glucuronate + 2 NADH + 2 H+,C00029 + C00001 + 2 C00003 <=> C00167 + 2 C00004 + 2 C00080,TRUE,1.1.1.22,chr_64,rn00040;rn00053;rn00520;rn00541
R00494,Glutathione + H2O <=> Cys-Gly + L-Glutamate,C00051 + C00001 <=> C01419 + C00025,FALSE,3.4.19.13,chr_66,rn00480
R01262,Glutathione + L-Amino acid <=> Cys-Gly + (5-L-Glutamyl)-L-amino acid,C00051 + C00151 <=> C01419 + C03740,FALSE,2.3.2.2,chr_66,rn00480
R01687,(5-L-Glutamyl)-peptide + Taurine <=> Peptide + 5-L-Glutamyl-taurine,C03193 + C00245 <=> C00012 + C05844,FALSE,2.3.2.2,chr_66,rn00430
R03867,Leukotriene C4 + Amino acid <=> Leukotriene D4 + 5-L-Glutamyl amino acid,C02166 + C00045 <=> C05951 + C03363,TRUE,2.3.2.2,chr_66,
R03916,R-S-Glutathione + H2O <=> R-S-Cysteinylglycine + L-Glutamate,C02320 + C00001 <=> C05729 + C00025,FALSE,2.3.2.2,chr_66,rn00480
R03970,3-Cyano-L-alanine + L-Glutamate <=> gamma-Glutamyl-beta-cyanoalanine + H2O,C02512 + C00025 <=> C05711 + C00001,FALSE,2.3.2.2,chr_66,rn00460
R03971,3-Aminopropiononitrile + L-Glutamate <=> gamma-Glutamyl-beta-aminopropiononitrile + H2O,C05670 + C00025 <=> C06114 + C00001,FALSE,2.3.2.2,chr_66,rn00460
R04935,(5-L-Glutamyl)-peptide + Se-Methyl-L-selenocysteine <=> Peptide + gamma-Glutamyl-Se-methylselenocysteine,C03193 + C05689 <=> C00012 + C05695,TRUE,2.3.2.2,chr_66,
R01030,sn-Glycero-3-phosphocholine + H2O <=> Choline + sn-Glycerol 3-phosphate,C00670 + C00001 <=> C00114 + C00093,FALSE,3.1.4.2;3.1.4.46,chr_96,rn00564
R01470,sn-Glycero-3-phosphoethanolamine + H2O <=> Ethanolamine + sn-Glycerol 3-phosphate,C01233 + C00001 <=> C00189 + C00093,FALSE,3.1.4.2;3.1.4.46,chr_96,rn00564
R00078,Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O,C00007 + 4 C14818 + 4 C00080 <=> 4 C14819 + 2 C00001,FALSE,1.16.3.1,chr_100,rn00860
R00552,L-Arginine + H2O <=> L-Citrulline + Ammonia,C00062 + C00001 <=> C00327 + C00014,TRUE,3.5.3.6,chr_101,rn00220
R11325,2 Ubiquinol + Oxygen + 4 H+ <=> 2 Ubiquinone + 2 H2O + 4 H+,2 C00390 + C00007 + 4 C00080 <=> 2 C00399 + 2 C00001 + 4 C00080,TRUE,7.1.1.7,( chr_111 and chr_112 ),
R00691,L-Arogenate <=> L-Phenylalanine + H2O + CO2,C00826 <=> C00079 + C00001 + C00011,FALSE,4.2.1.51;4.2.1.91,( chr_120 and chr_1771 ),rn00400
R01373,Prephenate <=> Phenylpyruvate + H2O + CO2,C00254 <=> C00166 + C00001 + C00011,FALSE,4.2.1.51;4.2.1.91,( chr_120 and chr_1771 ),rn00400
R00505,UDP-alpha-D-galactose <=> UDP-alpha-D-galactofuranose,C00052 <=> C03733,TRUE,5.4.99.9,chr_136,rn00052;rn00520
R09009,UDP-L-arabinose <=> UDP-L-arabinofuranose,C00935 <=> C18094,TRUE,5.4.99.9;5.4.99.30,chr_136,rn00520
R12080,UDP-alpha-D-galactofuranose + Glycolipid 4 <=> UDP + Glycolipid 5,G13125 + G13121 <=> G10619 + G13122,FALSE,2.4.1.288,chr_137,rn00572
R04620,"7,8-Dihydroneopterin 3'-triphosphate + 3 H2O <=> 7,8-Dihydroneopterin + 3 Orthophosphate",C04895 + 3 C00001 <=> C04874 + 3 C00009,FALSE,3.1.3.1,chr_141,rn00790
R12078,UDP-alpha-D-galactofuranose + Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate <=> UDP + Glycolipid 3,G13125 + G13119 <=> G10619 + G13120,FALSE,2.4.1.287,chr_161,rn00572
R12079,UDP-alpha-D-galactofuranose + Glycolipid 3 <=> UDP + Glycolipid 4,G13125 + G13120 <=> G10619 + G13121,FALSE,2.4.1.287,chr_161,rn00572
R00694,L-Phenylalanine + 2-Oxoglutarate <=> Phenylpyruvate + L-Glutamate,C00079 + C00026 <=> C00166 + C00025,TRUE,2.6.1.1;2.6.1.5;2.6.1.9;2.6.1.57,( chr_193 and chr_7657 ),rn00360;rn00400;rn00960
R00734,L-Tyrosine + 2-Oxoglutarate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Glutamate,C00082 + C00026 <=> C01179 + C00025,FALSE,2.6.1.1;2.6.1.5;2.6.1.9;2.6.1.57,( chr_193 and chr_7657 ),rn00130;rn00350;rn00400;rn00401;rn00950
R03243,L-Histidinol phosphate + 2-Oxoglutarate <=> 3-(Imidazol-4-yl)-2-oxopropyl phosphate + L-Glutamate,C01100 + C00026 <=> C01267 + C00025,TRUE,2.6.1.9,chr_193,rn00340
R03893,cis-4-Carboxymethylenebut-2-en-4-olide + H2O <=> 2-Maleylacetate,C04431 + C00001 <=> C02222,FALSE,3.1.1.45,chr_194,rn00361
R05510,Protoanemonin + H2O <=> cis-Acetylacrylate,C07090 + C00001 <=> C07091,FALSE,3.1.1.45,chr_194,rn00361
R05511,"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide + H2O <=> 2-Chloromaleylacetate",C04706 + C00001 <=> C06329,FALSE,3.1.1.45,chr_194,rn00361
R06835,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide + H2O <=> 2,5-Dichloro-4-oxohex-2-enedioate",C12834 + C00001 <=> C12835,FALSE,3.1.1.45,chr_194,rn00361
R06838,trans-4-Carboxymethylenebut-2-en-4-olide + H2O <=> 2-Maleylacetate,C12838 + C00001 <=> C02222,FALSE,3.1.1.45,chr_194,rn00361
R08120,5-Fluoromuconolactone + H2O <=> 2-Maleylacetate + Hydrofluoric acid,C16477 + C00001 <=> C02222 + C16487,FALSE,3.1.1.45,chr_194,rn00364
R08121,4-Fluoromuconolactone + H2O <=> 2-Maleylacetate + Hydrofluoric acid,C16476 + C00001 <=> C02222 + C16487,FALSE,3.1.1.45,chr_194,rn00364
R09136,"2,3,5-Trichlorodienelactone + H2O <=> 2,3,5-Trichloromaleylacetate",C18242 + C00001 <=> C18243,FALSE,3.1.1.45,chr_194,rn00361
R09220,3-Chloro-2-methyldienelactone + H2O <=> 3-Chloro-2-methylmaleylacetate,C18309 + C00001 <=> C18310,FALSE,3.1.1.45,chr_194,rn00623
R09222,2-Chloro-5-methyl-cis-dienelactone + H2O <=> 2-Chloro-5-methylmaleylacetate,C18304 + C00001 <=> C18305,FALSE,3.1.1.45,chr_194,rn00623
R01357,ATP + Acetoacetate + CoA <=> AMP + Diphosphate + Acetoacetyl-CoA,C00002 + C00164 + C00010 <=> C00020 + C00013 + C00332,FALSE,6.2.1.16,chr_195,rn00280;rn00650
R01728,Prephenate + NAD+ <=> 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADH + H+,C00254 + C00003 <=> C01179 + C00011 + C00004 + C00080,TRUE,1.3.1.12,( chr_229 and chr_3042 ),rn00400;rn00401
R01213,alpha-Isopropylmalate + CoA <=> Acetyl-CoA + 3-Methyl-2-oxobutanoic acid + H2O,C02504 + C00010 <=> C00024 + C00141 + C00001,FALSE,2.3.3.13,chr_271,rn00290;rn00620
R00480,ATP + L-Aspartate <=> ADP + 4-Phospho-L-aspartate,C00002 + C00049 <=> C00008 + C03082,FALSE,2.7.2.4,chr_292,rn00260;rn00261;rn00270;rn00300
R02291,L-Aspartate 4-semialdehyde + Orthophosphate + NADP+ <=> 4-Phospho-L-aspartate + NADPH + H+,C00441 + C00009 + C00006 <=> C03082 + C00005 + C00080,FALSE,1.2.1.11,chr_293,rn00260;rn00270;rn00300
R01678,Lactose + H2O <=> alpha-D-Glucose + D-Galactose,C00243 + C00001 <=> C00267 + C00124,FALSE,3.2.1.23;3.2.1.108,chr_312,rn00052
R03355,Lactosylceramide + H2O <=> Glucosylceramide + D-Galactose,C01290 + C00001 <=> C01190 + C00124,FALSE,3.2.1.23,chr_312,rn00600
R04633,D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + D-Galactose,C04911 + C00001 <=> C04884 + C00124,FALSE,3.2.1.23,chr_312,rn00600
R05112,GA1 + H2O <=> GA2 + D-Galactose,C06136 + C00001 <=> C06135 + C00124,FALSE,3.2.1.23,chr_312,rn00600
R05994,Asialo-GM1 + H2O <=> GA2 + D-Galactose,G00124 + C00001 <=> G00123 + C00124,TRUE,3.2.1.23,chr_312,
R06010,GM1 + H2O <=> GM2 + D-Galactose,G00110 + C00001 <=> G00109 + C00124,FALSE,3.2.1.23,chr_312,rn00604
R07807,G01977 + H2O <=> G13073 + D-Galactose,G01977 + C00001 <=> G13073 + C00124,FALSE,3.2.1.23,chr_312,rn00531
R00235,ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA,C00002 + C00033 + C00010 <=> C00020 + C00013 + C00024,FALSE,6.2.1.1,chr_342,rn00010;rn00630;rn00680;rn00720
R00236,Acetyl adenylate + CoA <=> AMP + Acetyl-CoA,C05993 + C00010 <=> C00020 + C00024,TRUE,6.2.1.1,chr_342,rn00620
R00316,ATP + Acetate <=> Diphosphate + Acetyl adenylate,C00002 + C00033 <=> C00013 + C05993,TRUE,6.2.1.1,chr_342,rn00620
R00925,ATP + Propanoate + CoA <=> AMP + Diphosphate + Propanoyl-CoA,C00002 + C00163 + C00010 <=> C00020 + C00013 + C00100,TRUE,6.2.1.1;6.2.1.17,( chr_342 and chr_4631 ),
R00926,Propionyladenylate + CoA <=> AMP + Propanoyl-CoA,C05983 + C00010 <=> C00020 + C00100,TRUE,6.2.1.1;6.2.1.17,( chr_342 and chr_4631 ),rn00640
R01354,ATP + Propanoate <=> Diphosphate + Propionyladenylate,C00002 + C00163 <=> C00013 + C05983,TRUE,6.2.1.1;6.2.1.17,( chr_342 and chr_4631 ),rn00640
R08555,(R)-Lactate + N-Acetyl-D-glucosamine 6-phosphate <=> N-Acetylmuramic acid 6-phosphate + H2O,C00256 + C00357 <=> C16698 + C00001,TRUE,4.2.1.126,chr_345,rn00520
R00022,Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine,C01674 + C00001 <=> 2 C00140,FALSE,3.2.1.52,( chr_350 and chr_4633 ),rn00520
R10831,G00711 + H2O <=> G10008 + N-Acetyl-D-glucosamine,G00711 + C00001 <=> G10008 + C00140,TRUE,3.2.1.52,chr_350,rn00531
