Unnamed: 0,Reaction ID,Reaction (Long),Reaction (short),Reversible,Gene,Enzyme,Subsystem,TurnoverNumber
,R00004,Diphosphate + H2O = 2 Orthophosphate,C00013 + C00001 <=> 2 C00009,False,hppA,3.6.1.1,rn00190 ,0.16
,R00005,Urea-1-carboxylate + H2O = 2 CO2 + 2 NH3,C01010 + C00001 <=> 2 C00011 + 2 C00014,False,,3.5.1.54,rn00330  rn00791,11
,R00006,2 Pyruvate = 2-Acetolactate + CO2,2 C00022 <=> C00900 + C00011,False,NZ_AEYC01000083.1:41224..42981 or ilvH or NZ_AEYC01000001.1:283645..285390,2.2.1.6,rn00770,0.0026
,R00009,2 H2O2 = Oxygen + 2 H2O,2 C00027 <=> C00007 + 2 C00001,True,,1.11.1.6  1.11.1.21,rn00680 rn00380,
,R00013,2 Glyoxylate = 2-Hydroxy-3-oxopropanoate + CO2,2 C00048 <=> C01146 + C00011,False,complement(NZ_AEYC01000095.1:77420..79123),4.1.1.47,rn00630,0.25
,R00022,Chitobiose + H2O = 2 N-Acetyl-D-glucosamine,C01674 + C00001 <=> 2 C00140,False,,3.2.1.52,rn00520,337
,R00025,Oxygen + 2 2-Nitropropane = 2 Acetone + 2 Nitrite,C00007 + 2 C02116 <=> 2 C00207 + 2 C00088,False,,1.13.12.16,rn00910,0.82
,R00028,Maltose + H2O = 2 D-Glucose,C00208 + C00001 <=> 2 C00031,False,,3.2.1.20,rn00500,0.11
,R00036,2 5-Aminolevulinate = Porphobilinogen + 2 H2O,2 C00430 <=> C00931 + 2 C00001,False,NZ_AEYC01000068.1:96769..97665,4.2.1.24,rn00860,
,R00066,"2 6,7-Dimethyl-8-(1-D-ribityl)lumazine = Riboflavin +5-Amino-6-(1-D-ribitylamino)uracil",2 C04332 <=> C00255 + C04732,False,,2.5.1.9,rn00740,0.001
,R00069,4-Imidazolone-5-propanoate +Oxygen + H2O = Hydantoin-5-propionate + H2O2,C03680 + C00007 + C00001 <=> C05565 + C00027,False,,1.14.13.-       1.17.3.2,rn00340,
,R00084,4 Porphobilinogen + H2O = Hydroxymethylbilane + 4 NH3,4 C00931 + C00001 <=> C01024 + 4 C00014,False,hemC,2.5.1.61,rn00860,0.25
,R00089,"ATP = 3',5'-Cyclic AMP + Diphosphate",C00002 <=> C00575 + C00013,False,,4.6.1.1,rn00230,0.0003
,R00093,L-Glutamine + 2-Oxoglutarate + NADH + H+ = 2 L-Glutamate + NAD+,C00064 + C00026 + C00004 + C00080 <=> 2 C00025 + C00003,False,,1.4.1.14,rn00250 rn00910,32
,R00094,2 Glutathione + NAD+ = Glutathione disulfide + NADH + H+,2 C00051 + C00003 <=> C00127 + C00004 + C00080,False,complement(NZ_AEYC01000001.1:434650..436047),1.8.1.7,not exist,
,R00103,NAD+ + H2O = AMP + Nicotinamide D-ribonucleotide,C00003 + C00001 <=> C00020 + C00455,False,,3.6.1.9         3.6.1.22,rn00760,
,R00104,ATP + NAD+ = ADP + NADP+,C00002 + C00003 <=> C00008 + C00006,False,,2.7.1.23,rn00760,0.52
,R00106,NADPH + 2 Ferricytochrome = NADP+ + 2 Ferrocytochrome + H+,C00005 + 2 C00923 <=> C00006 + 2 C00924 + C00080,True,,1.6.2.4,not exist,0.56
,R00111,NADPH + 2 N-(omega)-Hydroxyarginine + 2 Oxygen + H+ = NADP+ + 2Nitric oxide + 2 L-Citrulline + 2 H2O,C00005 + 2 C05933 + 2 C00007 + C00080 <=> C00006 + 2 C00533 + 2 C00327 + 2 C00001,False,,1.14.13.39,rn00330,0.28
,R00112,NADPH + NAD+ = NADP+ + NADH,C00005 + C00003 <=> C00006 + C00004,True,,1.6.1.1         1.6.1.2,rn00760,
,R00114,L-Glutamine + 2-Oxoglutarate + NADPH + H+ = 2 L-Glutamate + NADP+,C00064 + C00026 + C00005 + C00080 <=> 2 C00025 + C00006,False,,1.4.1.13,rn00910 rn00250,
,R00115,2 Glutathione + NADP+ = Glutathione disulfide + NADPH + H+,2 C00051 + C00006 <=> C00127 + C00005 + C00080,False,complement(NZ_AEYC01000001.1:434650..436047),1.8.1.7,rn00480,
,R00118,NADP+ + H2O = Orthophosphate + NAD+,C00006 + C00001 <=> C00009 + C00003,False,,3.1.3.-,rn00760,
,R00130,ATP + Dephospho-CoA = ADP + CoA,C00002 + C00882 <=> C00008 + C00010,False,coaE,2.7.1.24,rn00770,0.014
,R00131,Urea + H2O = CO2 + 2 NH3,C00086 + C00001 <=> C00011 + 2 C00014,False,ureC or ureA,3.5.1.5,rn00230 rn00330  rn00791,0.06
,R00132,Carbonic acid = CO2 + H2O,C01353 <=> C00011 + C00001,True,,4.2.1.1,rn00910,
,R00137,ATP + Nicotinamide D-ribonucleotide = Diphosphate + NAD+,C00002 + C00455 <=> C00013 + C00003,False,,2.7.7.1         2.7.7.18,rn00760,
,R00139,2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP =2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP,C11038 + C00002 <=> C11039 + C00008,False,complement(NZ_AEYC01000019.1:316021..316419),2.7.4.6,rn00240,
,R00161,ATP + FMN = Diphosphate + FAD,C00002 + C00061 <=> C00013 + C00016,False,,2.7.7.2,rn00740,0.00691
,R00177,ATP + L-Methionine + H2O = Orthophosphate + Diphosphate + S-Adenosyl-L-methionine,C00002 + C00073 + C00001 <=> C00009 + C00013 + C00019,False,SAM-s,2.5.1.6,rn00270,0.0000883
,R00178,S-Adenosyl-L-methionine + H+ = S-Adenosylmethioninamine + CO2,C00019 + C00080 <=> C01137 + C00011,False,,4.1.1.50,rn00270 rn00330,0.0013
,R00189,ATP + Deamino-NAD+ + NH3 = AMP + Diphosphate + NAD+,C00002 + C00857 + C00014 <=> C00020 + C00013 + C00003,False,,6.3.1.5         6.3.5.1,rn00760,
,R00192,S-Adenosyl-L-homocysteine + H2O = Adenosine + L-Homocysteine,C00021 + C00001 <=> C00212 + C00155,False,complement(NZ_AEYC01000008.1:170353..171813) or complement(NZ_AEYC01000063.1:51885..52004) or complement(NZ_AEYC01000063.1:52014..53474),3.3.1.1,rn00270,
,R00217,Oxaloacetate = Pyruvate + CO2,C00036 <=> C00022 + C00011,False,,1.1.1.38        1.1.1.40        4.1.1.3,rn00620,
