orf_name,KO number
chr_3,K00033
chr_27,K01658
chr_30,K05364
chr_64,K00012
chr_66,K00681
chr_96,K01126
chr_100,K22336
chr_101,K01478
chr_111,K00425
chr_112,K00426
chr_120,K04518
chr_135,K13671
chr_136,K01854
chr_137,K16650
chr_141,K01113
chr_160,K11387
chr_161,K16649
chr_193,K00817
chr_194,K01061
chr_195,K01907
chr_229,K04517
chr_271,K01649
chr_292,K00928
chr_293,K00133
chr_312,K12309
chr_342,K01895
chr_345,K07106
chr_348,K21469
chr_350,K01207
chr_397,K01507
chr_398,K07259
chr_401,K00760
chr_403,K01495
chr_404,K00796
chr_405,K01633
chr_406,K00950
chr_412,K01918
chr_413,K01579
chr_414,K03525
chr_437,K00991
chr_438,K01770
chr_453,K00836
chr_458,K01183
chr_472,K00697
chr_473,K01087
chr_478,K00797
chr_491,K01714
chr_495,K00820
chr_502,K00788
chr_503,K03153
chr_505,K03149
chr_507,K00941
chr_508,K03147
chr_513,K17103
chr_514,K01613
chr_516,K03750
chr_535,K02549
chr_541,K01576
chr_546,K15577
chr_548,K15553
chr_557,K00027
chr_558,K03637
chr_563,K03639
chr_572,K00526
chr_573,K01091
chr_608,K00831
chr_610,K01647
chr_611,K01430
chr_612,K00275
chr_615,K01785
chr_618,K00847
chr_622,K00111
chr_624,K00803
chr_633,K01054
chr_642,K19002
chr_643,K08680
chr_663,K08351
chr_749,K04719
chr_760,K00965
chr_769,K01934
chr_770,K00963
chr_782,K00728
chr_784,K01665
chr_786,K01874
chr_794,K00919
chr_801,K09019
chr_802,K00948
chr_803,K04042
chr_806,K00507
chr_813,K04765
chr_817,K01689
chr_823,K01524
chr_851,K03885
chr_902,K01953
chr_909,K12239
chr_941,K00626
chr_943,K01697
chr_945,K01739
chr_947,K01754
chr_948,K00457
chr_955,K00854
chr_961,K12503
chr_970,K01679
chr_973,K02446
chr_979,K03527
chr_989,K15889
chr_1023,K00273
chr_1024,K01724
chr_1041,K00674
chr_1047,K01439
chr_1058,K15866
chr_1061,K01255
chr_1077,K00374
chr_1079,K00371
chr_1080,K00370
chr_1081,K02575
chr_1124,K13381
chr_1140,K03426
chr_1168,K00943
chr_1182,K00020
chr_1185,K01042
chr_1195,K00059
chr_1215,K00387
chr_1225,K03781
chr_1238,K17690
chr_1247,K00239
chr_1248,K00240
chr_1254,K02274
chr_1255,K01079
chr_1265,K08281
chr_1266,K00763
chr_1278,K01053
chr_1280,K01776
chr_1283,K01519
chr_1290,K00156
chr_1300,K16329
chr_1302,K15777
chr_1310,K01451
chr_1322,K07141
chr_1324,K01487
chr_1327,K13479
chr_1329,K01581
chr_1330,K01611
chr_1333,K00852
chr_1341,K01687
chr_1343,K00525
chr_1355,K03707
chr_1362,K04780
chr_1369,K02257
chr_1407,K18292
chr_1408,K18289
chr_1411,K01426
chr_1428,K15371
chr_1448,K01256
chr_1458,K01808
chr_1485,K11754
chr_1493,K00940
chr_1500,K01049
chr_1508,K00931
chr_1516,K00147
chr_1519,K00969
chr_1525,K01733
chr_1534,K00052
chr_1536,K01637
chr_1539,K00459
chr_1549,K00140
chr_1551,K05605
chr_1562,K00955
chr_1563,K00957
chr_1564,K00390
chr_1566,K00392
chr_1584,K00806
chr_1593,K01129
chr_1621,K12349
chr_1670,K18472
chr_1671,K09458
chr_1672,K02078
chr_1673,K00648
chr_1674,K00645
chr_1681,K00163
chr_1697,K13787
chr_1702,K01626
chr_1731,K07160
chr_1732,K23123
chr_1748,K02227
chr_1755,K22316
chr_1770,K00606
chr_1771,K01713
chr_1778,K01916
chr_1780,K01915
chr_1789,K03644
chr_1793,K03801
chr_1795,K00627
chr_1796,K00382
chr_1803,K00826
chr_1804,K02233
chr_1805,K00768
chr_1806,K02231
chr_1812,K00856
chr_1813,K01176
chr_1816,K00547
chr_1821,K02275
chr_1824,K00766
chr_1827,K02276
chr_1828,K03889
chr_1829,K03890
chr_1830,K03891
chr_1836,K01897
chr_1844,K00655
chr_1846,K00850
chr_1855,K14337
chr_1858,K10209
chr_1860,K00297
chr_1877,K01625
chr_1878,K01690
chr_1889,K00791
chr_1890,K01778
chr_1907,K01784
chr_1908,K00849
chr_1910,K01011
chr_1917,K01676
chr_1938,K00886
chr_1939,K01092
chr_1943,K01520
chr_1958,K01662
chr_1963,K10527
chr_1964,K07513
chr_1970,K01599
chr_1971,K00231
chr_1972,K00435
chr_1987,K00077
chr_2000,K00819
chr_2001,K07404
chr_2017,K00074
chr_2021,K01563
chr_2026,K00252
chr_2034,K16044
chr_2036,K01621
chr_2037,K00925
chr_2050,K05913
chr_2052,K01474
chr_2053,K01473
chr_2079,K00008
chr_2090,K04123
chr_2122,K01596
chr_2147,K18277
chr_2158,K01782
chr_2160,K00823
chr_2164,K00128
chr_2180,K19222
chr_2192,K00859
chr_2198,K09838
chr_2222,K00249
chr_2224,K20866
chr_2235,K00108
chr_2237,K00130
chr_2250,K00276
chr_2253,K01580
chr_2259,K19709
chr_2262,K01715
chr_2263,K22540
chr_2265,K00001
chr_2266,K01561
chr_2330,K15981
chr_2331,K01822
chr_2348,K17836
chr_2383,K00285
chr_2393,K00145
chr_2395,K00620
chr_2396,K00930
chr_2397,K00821
chr_2398,K00611
chr_2401,K01755
chr_2406,K06117
chr_2409,K00858
chr_2413,K01937
chr_2423,K00945
chr_2437,K00058
chr_2439,K05878
chr_2441,K01628
chr_2448,K01823
chr_2449,K14677
chr_2453,K21061
chr_2454,K10814
chr_2455,K22549
chr_2456,K21062
chr_2457,K22548
chr_2486,K17940
chr_2512,K04091
chr_2514,K18121
chr_2528,K00299
chr_2533,K11263
chr_2554,K00615
chr_2556,K12256
chr_2567,K14733
chr_2595,K00114
chr_2612,K01574
chr_2616,K22468
chr_2618,K13481
chr_2620,K00087
chr_2622,K11262
chr_2646,K01194
chr_2655,K03271
chr_2664,K06281
chr_2665,K06282
chr_2746,K02364
chr_2750,K18009
chr_2770,K03651
chr_2777,K03782
chr_2818,K01935
chr_2819,K00652
chr_2820,K00833
chr_2821,K01012
chr_2823,K13015
chr_2829,K13017
chr_2844,K23124
chr_2851,K00135
chr_2858,K01695
chr_2880,K00622
chr_2881,K22270
chr_2882,K11646
chr_2900,K15639
chr_2902,K06016
chr_2909,K13875
chr_2934,K01428
chr_2935,K01429
chr_2936,K14048
chr_2953,K19548
chr_2964,K14731
chr_2976,K13566
chr_3028,K00830
chr_3042,K14187
chr_3043,K13950
chr_3053,K03856
chr_3064,K00485
chr_3081,K02170
chr_3084,K02858
chr_3089,K19266
chr_3093,K01738
chr_3109,K03367
chr_3110,K01841
chr_3119,K04022
chr_3122,K08322
chr_3166,K14938
chr_3168,K00787
chr_3187,K00804
chr_3195,K00616
chr_3196,K01810
chr_3198,K00036
chr_3211,K01904
chr_3214,K13238
chr_3260,K00121
chr_3263,K00528
chr_3274,K01114
