orf_name,Class D,Class C,Class B,Class A
chr_1,K02313  dnaA; chromosomal replication initiator protein,02020 Two-component system,Signal transduction,Environmental Information Processing
chr_1,K02313  dnaA; chromosomal replication initiator protein,04112 Cell cycle - Caulobacter,Cell growth and death,Cellular Processes
chr_1,K02313  dnaA; chromosomal replication initiator protein,03032 DNA replication proteins,Protein families: genetic information processing,Brite Hierarchies
chr_1,K02313  dnaA; chromosomal replication initiator protein,03036 Chromosome and associated proteins,Protein families: genetic information processing,Brite Hierarchies
chr_2,K02338  dnaN; DNA polymerase III subunit beta,03430 Mismatch repair,Replication and repair,Genetic Information Processing
chr_2,K02338  dnaN; DNA polymerase III subunit beta,03440 Homologous recombination,Replication and repair,Genetic Information Processing
chr_2,K02338  dnaN; DNA polymerase III subunit beta,03030 DNA replication,Replication and repair,Genetic Information Processing
chr_2,K02338  dnaN; DNA polymerase III subunit beta,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_2,K02338  dnaN; DNA polymerase III subunit beta,03032 DNA replication proteins,Protein families: genetic information processing,Brite Hierarchies
chr_3,"K00033  PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase",00480 Glutathione metabolism,Metabolism of other amino acids,Metabolism
chr_3,"K00033  PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase",00030 Pentose phosphate pathway,Carbohydrate metabolism,Metabolism
chr_5,K07485  K07485; transposase,99976 Replication and repair,Unclassified: genetic information processing,Not Included in Pathway or Brite
chr_6,K03629  recF; DNA replication and repair protein RecF,03440 Homologous recombination,Replication and repair,Genetic Information Processing
chr_6,K03629  recF; DNA replication and repair protein RecF,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_8,K02470  gyrB; DNA gyrase subunit B,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_8,K02470  gyrB; DNA gyrase subunit B,03032 DNA replication proteins,Protein families: genetic information processing,Brite Hierarchies
chr_9,K02469  gyrA; DNA gyrase subunit A,03400 DNA repair and recombination proteins,Protein families: genetic information processing,Brite Hierarchies
chr_9,K02469  gyrA; DNA gyrase subunit A,03032 DNA replication proteins,Protein families: genetic information processing,Brite Hierarchies
chr_22,K03767  PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A),04217 Necroptosis,Cell growth and death,Cellular Processes
chr_22,K03767  PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A),01503 Cationic antimicrobial peptide (CAMP) resistance,Drug resistance: antimicrobial,Human Diseases
chr_22,K03767  PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A),03110 Chaperones and folding catalysts,Protein families: genetic information processing,Brite Hierarchies
chr_22,K03767  PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A),04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_27,K01658  trpG; anthranilate synthase component II,"00400 Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism
chr_27,K01658  trpG; anthranilate synthase component II,00405 Phenazine biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_27,K01658  trpG; anthranilate synthase component II,02025 Biofilm formation - Pseudomonas aeruginosa,Cellular community - prokaryotes,Cellular Processes
chr_27,K01658  trpG; anthranilate synthase component II,02024 Quorum sensing,Cellular community - prokaryotes,Cellular Processes
chr_28,"K12132  prkC, stkP; eukaryotic-like serine/threonine-protein kinase",01001 Protein kinases,Protein families: metabolism,Brite Hierarchies
chr_29,"K12132  prkC, stkP; eukaryotic-like serine/threonine-protein kinase",01001 Protein kinases,Protein families: metabolism,Brite Hierarchies
chr_30,K05364  pbpA; penicillin-binding protein A,00550 Peptidoglycan biosynthesis,Glycan biosynthesis and metabolism,Metabolism
chr_30,K05364  pbpA; penicillin-binding protein A,01011 Peptidoglycan biosynthesis and degradation proteins,Protein families: metabolism,Brite Hierarchies
